"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Nov 13 11:59:19 UTC 2024","Wed Nov 13 12:00:22 UTC 2024","62429","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_50_one_time_button-en-chromium]",""
"passed","Wed Nov 13 12:01:25 UTC 2024","Wed Nov 13 12:02:26 UTC 2024","60925","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Instagram QR type",""
"passed","Wed Nov 13 12:12:41 UTC 2024","Wed Nov 13 12:13:19 UTC 2024","38142","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Instagram QR type",""
"passed","Wed Nov 13 11:59:27 UTC 2024","Wed Nov 13 12:01:24 UTC 2024","117294","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Video QR type",""
"passed","Wed Nov 13 12:10:38 UTC 2024","Wed Nov 13 12:12:31 UTC 2024","113122","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","VCard QR type",""
"passed","Wed Nov 13 12:12:30 UTC 2024","Wed Nov 13 12:13:11 UTC 2024","40984","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","WiFi QR type",""
"passed","Wed Nov 13 12:10:17 UTC 2024","Wed Nov 13 12:12:26 UTC 2024","129071","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Business QR type",""
"passed","Wed Nov 13 12:04:44 UTC 2024","Wed Nov 13 12:05:43 UTC 2024","59055","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","WiFi QR type",""
"broken","Wed Nov 13 11:59:50 UTC 2024","Wed Nov 13 12:01:40 UTC 2024","109411","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_partial_refund_options[partial_refund_plan_button_keep_subscription-en-chromium]",""
"passed","Wed Nov 13 11:57:23 UTC 2024","Wed Nov 13 11:59:22 UTC 2024","119430","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","VCard QR type",""
"passed","Wed Nov 13 12:08:59 UTC 2024","Wed Nov 13 12:11:28 UTC 2024","149132","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","Facebook QR type",""
"passed","Wed Nov 13 12:04:04 UTC 2024","Wed Nov 13 12:06:17 UTC 2024","133632","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","PDF QR type",""
"passed","Wed Nov 13 12:01:56 UTC 2024","Wed Nov 13 12:03:21 UTC 2024","85554","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","PDF QR type",""
"broken","Wed Nov 13 11:57:16 UTC 2024","Wed Nov 13 11:58:21 UTC 2024","64664","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[default_pricing_button-en-chromium]",""
"passed","Wed Nov 13 12:11:07 UTC 2024","Wed Nov 13 12:13:09 UTC 2024","121341","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Menu-Menu QR type",""
"passed","Wed Nov 13 11:59:45 UTC 2024","Wed Nov 13 12:01:41 UTC 2024","115658","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","Links QR type",""
"broken","Wed Nov 13 11:57:22 UTC 2024","Wed Nov 13 11:57:35 UTC 2024","12877","tests","test_sign_up_flow_cff","TestCFFSignUpFlow","","","MP3 QR type",""
"broken","Wed Nov 13 11:57:15 UTC 2024","Wed Nov 13 11:58:33 UTC 2024","78005","tests","test_admin_link_generation","TestAdminLinkGeneration","","","test_admin_create_uniq_payment_link[discount_8_99_monthly_button-en-chromium]",""
"broken","Wed Nov 13 12:03:19 UTC 2024","Wed Nov 13 12:03:38 UTC 2024","19278","tests","test_sign_up_flow_default","TestDefaultSignUpFlow","","","MP3 QR type",""
"passed","Wed Nov 13 12:09:23 UTC 2024","Wed Nov 13 12:11:27 UTC 2024","124069","tests","test_sign_up_flow_dpf","TestDPFSignUpFlow","","","WhatsApp QR type",""
"broken","Wed Nov 13 12:11:51 UTC 2024","Wed Nov 13 12:13:25 UTC 2024","94822","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Coupon QR type",""
"broken","Wed Nov 13 12:10:48 UTC 2024","Wed Nov 13 12:12:53 UTC 2024","125011","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Video QR type",""
"passed","Wed Nov 13 12:12:48 UTC 2024","Wed Nov 13 12:13:35 UTC 2024","47073","tests","test_sign_up_flow_nsf","TestNSFSignUpFlow","","","Facebook QR type",""
